Beginn,Ende,Kalorien (kcal),Distanz (m),Durchschnittliche Herzfrequenz (bpm),Maximale Herzfrequenz (bpm),Minimale Herzfrequenz (bpm),Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg),Radfahren – Dauer (ms),Inaktiv – Dauer (ms),Gehen – Dauer (ms),Joggen – Dauer (ms)
18:00:00.000+01:00,18:15:00.000+01:00,18.848959266996545,,,,,51.247867584228516,6.817852020263672,51.247867584228516,6.817852020263672,,,,79,,,,,900000,,
18:15:00.000+01:00,18:30:00.000+01:00,18.848959266996545,,,,,51.24764633178711,6.817336559295654,51.24771499633789,6.817810535430908,,,,22,,,,,900000,,
18:30:00.000+01:00,18:45:00.000+01:00,18.848959266996545,,,,,51.24763870239258,6.817319869995117,51.24763870239258,6.817319869995117,,,,176,,,,,900000,,
18:45:00.000+01:00,19:00:00.000+01:00,18.848959266996545,,,,,51.24762725830078,6.817311763763428,51.247650146484375,6.817324638366699,1.339895248413086,1.339895248413086,1.339895248413086,,,,,,900000,,
19:00:00.000+01:00,19:15:00.000+01:00,18.848959266996545,,,,,,,,,,,,,,,,,900000,,
19:15:00.000+01:00,19:30:00.000+01:00,18.848959266996545,,,,,,,,,,,,,,,,,900000,,
19:30:00.000+01:00,19:45:00.000+01:00,18.848959266996545,,,,,,,,,,,,,,,,,900000,,
19:45:00.000+01:00,20:00:00.000+01:00,18.848959266996545,,,,,,,,,,,,,,,,,900000,,
20:00:00.000+01:00,20:15:00.000+01:00,18.848959266996545,,,,,,,,,,,,,,,,,900000,,
20:15:00.000+01:00,20:30:00.000+01:00,18.848959266996545,,,,,,,,,,,,,,,,,900000,,
20:30:00.000+01:00,20:45:00.000+01:00,18.848959266996545,,,,,,,,,,,,,,,,,900000,,
20:45:00.000+01:00,21:00:00.000+01:00,18.848959266996545,,,,,,,,,,,,,,,,,900000,,
21:00:00.000+01:00,21:15:00.000+01:00,18.848959266996545,,,,,51.2469367980957,6.817327976226807,51.24888610839844,6.817870140075684,3.476115485859721,4.59798526763916,2.347686290740967,,,,,,900000,,
21:15:00.000+01:00,21:30:00.000+01:00,18.848959266996545,,,,,,,,,,,,,,,,,900000,,
