Beginn,Ende,Kalorien (kcal),Distanz (m),Durchschnittliche Herzfrequenz (bpm),Maximale Herzfrequenz (bpm),Minimale Herzfrequenz (bpm),Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg),Radfahren – Dauer (ms),Inaktiv – Dauer (ms),Gehen – Dauer (ms),Laufen – Dauer (ms)
16:45:00.000+02:00,17:00:00.000+02:00,39.18530718267763,37.17690849304199,,,,51.24502944946289,6.810927391052246,51.247676849365234,6.817399501800537,0.40369264781475067,0.44999995827674866,0.3573853373527527,477,,,,,377111,295677,
17:00:00.000+02:00,17:15:00.000+02:00,18.848958422820335,,,,,51.24753189086914,6.8173699378967285,51.24759292602539,6.817427635192871,,,,,,,,,900000,,
17:15:00.000+02:00,17:30:00.000+02:00,18.848958422820335,,,,,51.24755096435547,6.817415237426758,51.24755096435547,6.817415237426758,,,,,,,,,900000,,
17:30:00.000+02:00,17:45:00.000+02:00,18.848958422820335,,,,,51.247623443603516,6.817361354827881,51.247623443603516,6.817361354827881,,,,,,,,,900000,,
17:45:00.000+02:00,18:00:00.000+02:00,18.848958422820335,,,,,,,,,,,,,,,,,900000,,
18:00:00.000+02:00,18:15:00.000+02:00,18.848958422820335,,,,,51.247676849365234,6.817382335662842,51.247676849365234,6.817382335662842,,,,,,,,,900000,,
18:15:00.000+02:00,18:30:00.000+02:00,27.10243153327162,25.0,,,,,,,,0.2083333134651184,0.3166666328907013,0.09999999403953552,33,,,,,780000,120000,
18:30:00.000+02:00,18:45:00.000+02:00,18.848958696637833,,,,,51.24763107299805,6.817359447479248,51.24763107299805,6.817359447479248,,,,,,,,,900000,,
18:45:00.000+02:00,19:00:00.000+02:00,18.848958696637833,,,,,,,,,,,,,,,,,900000,,
19:00:00.000+02:00,19:15:00.000+02:00,18.848958696637833,,,,,,,,,,,,,,,,,900000,,
